slots,threads,var,value
524288,7,efficiency,0.5326975052324874
524288,8,ipc,1.04
524288,8,cachemiss,32.934
524288,8,normtime,269721.80803369114
524288,8,efficiency,0.47680389827197284
524288,9,ipc,0.93
524288,9,cachemiss,32.86
524288,9,normtime,262467.669881144
524288,9,efficiency,0.4124269424346493
524288,10,ipc,0.75
524288,10,cachemiss,33.698
524288,10,normtime,224265.63053910394
524288,10,efficiency,0.3171585647271354
524288,11,ipc,0.61
524288,11,cachemiss,32.838
524288,11,normtime,188234.09244657707
524288,11,efficiency,0.2420022041376904
524288,12,ipc,0.5
524288,12,cachemiss,33.263
524288,12,normtime,149647.16412746988
524288,12,efficiency,0.1763603562289896
1048576,1,ipc,1.81
1048576,1,cachemiss,0.141
1048576,1,normtime,70996.99179564833
1048576,1,efficiency,1.0
1048576,2,ipc,1.81
1048576,2,cachemiss,0.067
1048576,2,normtime,139873.44022022514
1048576,2,efficiency,0.9850659632370403
1048576,3,ipc,1.77
1048576,3,cachemiss,0.045
1048576,3,normtime,186220.80770052364
1048576,3,efficiency,0.8743131363298965
1048576,4,ipc,1.75
1048576,4,cachemiss,0.036
1048576,4,normtime,236818.8061045903
1048576,4,efficiency,0.8339043673365392
1048576,5,ipc,1.73
1048576,5,cachemiss,0.029
1048576,5,normtime,282221.0408776083
1048576,5,efficiency,0.7950225319121385
1048576,6,ipc,1.69
1048576,6,cachemiss,0.03
1048576,6,normtime,318420.236049115
1048576,6,efficiency,0.7474970135956104
1048576,7,ipc,1.29
1048576,7,cachemiss,31.955
1048576,7,normtime,302908.61779578985
1048576,7,efficiency,0.6094999040193867
1048576,8,ipc,1.21
1048576,8,cachemiss,31.421
1048576,8,normtime,320256.9886411427
1048576,8,efficiency,0.5638566165643734
1048576,9,ipc,1.16
1048576,9,cachemiss,30.437
1048576,9,normtime,336671.7523587541
1048576,9,efficiency,0.526895175953059
1048576,10,ipc,1.1
1048576,10,cachemiss,30.051
1048576,10,normtime,345970.5007383607
1048576,10,efficiency,0.4873030419854585
1048576,11,ipc,1.04
1048576,11,cachemiss,29.409
1048576,11,normtime,353245.8344440807
1048576,11,efficiency,0.4523185682171812
1048576,12,ipc,0.92
1048576,12,cachemiss,29.228
1048576,12,normtime,319750.5816657231
1048576,12,efficiency,0.37531001147446014
2097152,1,ipc,1.81
2097152,1,cachemiss,0.285
2097152,1,normtime,71324.59407481698
2097152,1,efficiency,1.0
2097152,2,ipc,1.82
2097152,2,cachemiss,0.12
2097152,2,normtime,141000.1139375172
2097152,2,efficiency,0.9884396523141306
2097152,3,ipc,1.78
2097152,3,cachemiss,0.084
2097152,3,normtime,187674.77459594453
2097152,3,efficiency,0.8770923832111371
2097152,4,ipc,1.78
2097152,4,cachemiss,0.123
2097152,4,normtime,240940.51565579162
2097152,4,efficiency,0.8445211598507435
2097152,5,ipc,1.77
2097152,5,cachemiss,0.071
2097152,5,normtime,289190.2617814826
2097152,5,efficiency,0.8109131654591184
2097152,6,ipc,1.74
2097152,6,cachemiss,0.048
2097152,6,normtime,330447.0557851606
2097152,6,efficiency,0.7721671607377892
2097152,7,ipc,1.41
2097152,7,cachemiss,30.938
2097152,7,normtime,334427.2498868947
2097152,7,efficiency,0.6698295592443037
2097152,8,ipc,1.36
2097152,8,cachemiss,29.666
2097152,8,normtime,361677.6292813823
2097152,8,efficiency,0.6338585483255524
2097152,9,ipc,1.31
2097152,9,cachemiss,28.537
2097152,9,normtime,383747.8375720642
2097152,9,efficiency,0.5978113043923083
2097152,10,ipc,1.27
2097152,10,cachemiss,27.709
2097152,10,normtime,405371.04033275176
2097152,10,efficiency,0.5683467891980316
2097152,11,ipc,1.22
2097152,11,cachemiss,27.28
2097152,11,normtime,422452.8885335103
2097152,11,efficiency,0.5384511268050912
2097152,12,ipc,1.13
2097152,12,cachemiss,26.478
2097152,12,normtime,402120.88648128806
2097152,12,efficiency,0.46982495039915384
4194304,1,ipc,1.74
4194304,1,cachemiss,37.25
4194304,1,normtime,68426.94602585757
4194304,1,efficiency,1.0
4194304,2,ipc,1.74
4194304,2,cachemiss,35.556
4194304,2,normtime,134897.0378194259
4194304,2,efficiency,0.9857011430003775
4194304,3,ipc,1.69
4194304,3,cachemiss,31.291
4194304,3,normtime,179254.42312753104
4194304,3,efficiency,0.8732155655940637
4194304,4,ipc,1.71
4194304,4,cachemiss,27.802
4194304,4,normtime,233325.0230215166
4194304,4,efficiency,0.852460311955711
4194304,5,ipc,1.69
4194304,5,cachemiss,26.691
4194304,5,normtime,276396.086582007
4194304,5,efficiency,0.8078574381430406
4194304,6,ipc,1.68
4194304,6,cachemiss,24.569
4194304,6,normtime,318980.0866772388
4194304,6,efficiency,0.7769358544724491
4194304,7,ipc,1.53
4194304,7,cachemiss,30.122
4194304,7,normtime,364644.10670451657
4194304,7,efficiency,0.7612792659753883
4194304,8,ipc,1.5
4194304,8,cachemiss,28.61
